Industry,State,Year,Measure
Stores and Restaurants,District of Columbia,2020,100634
Stores and Restaurants,District of Columbia,2019,148803
Stores and Restaurants,District of Columbia,2018,131827
Stores and Restaurants,District of Columbia,2017,116507
Stores and Restaurants,District of Columbia,2016,112953
Stores and Restaurants,District of Columbia,2015,91851
Stores and Restaurants,Florida,2024,664783
Stores and Restaurants,Florida,2023,2433588
Stores and Restaurants,Florida,2022,2462172
Stores and Restaurants,Florida,2021,1850095
Stores and Restaurants,Florida,2020,1554254
Stores and Restaurants,Florida,2019,1765566
Stores and Restaurants,Florida,2018,1789252
Stores and Restaurants,Florida,2017,2053606
Stores and Restaurants,Florida,2016,1668422
Stores and Restaurants,Florida,2015,1519463
Stores and Restaurants,Georgia,2024,321419
Stores and Restaurants,Georgia,2023,1009626
Stores and Restaurants,Georgia,2022,1189368
Stores and Restaurants,Georgia,2021,808381
Stores and Restaurants,Georgia,2020,561956
Stores and Restaurants,Georgia,2019,670883
Stores and Restaurants,Georgia,2018,544109
Stores and Restaurants,Georgia,2017,651459
Stores and Restaurants,Georgia,2016,838932
Stores and Restaurants,Georgia,2015,524179
Stores and Restaurants,Hawaii,2024,7641
Stores and Restaurants,Hawaii,2023,105310
Stores and Restaurants,Hawaii,2022,71126
Stores and Restaurants,Hawaii,2021,10776
Stores and Restaurants,Hawaii,2020,63988
Stores and Restaurants,Hawaii,2019,255199
Stores and Restaurants,Hawaii,2018,162063
Stores and Restaurants,Hawaii,2017,191322
Stores and Restaurants,Hawaii,2016,119333
Stores and Restaurants,Hawaii,2015,272434
Stores and Restaurants,Idaho,2024,29128
Stores and Restaurants,Idaho,2023,110731
Stores and Restaurants,Idaho,2022,164685
Stores and Restaurants,Idaho,2021,125845
Stores and Restaurants,Idaho,2020,48249
Stores and Restaurants,Idaho,2019,82640
Stores and Restaurants,Idaho,2018,65466
Stores and Restaurants,Idaho,2017,91490
Stores and Restaurants,Idaho,2016,52437
Stores and Restaurants,Idaho,2015,66317
Stores and Restaurants,Illinois,2024,92280
Stores and Restaurants,Illinois,2023,558418
Stores and Restaurants,Illinois,2022,493441
Stores and Restaurants,Illinois,2021,351921
Stores and Restaurants,Illinois,2020,367465
Stores and Restaurants,Illinois,2019,558603
Stores and Restaurants,Illinois,2018,766361
Stores and Restaurants,Illinois,2017,736559
Stores and Restaurants,Illinois,2016,755470
Stores and Restaurants,Illinois,2015,672215
Stores and Restaurants,Indiana,2024,41705
Stores and Restaurants,Indiana,2023,284746
Stores and Restaurants,Indiana,2022,261741
Stores and Restaurants,Indiana,2021,262656
Stores and Restaurants,Indiana,2020,192208
Stores and Restaurants,Indiana,2019,290991
Stores and Restaurants,Indiana,2018,267097
Stores and Restaurants,Indiana,2017,264368
Stores and Restaurants,Indiana,2016,304744
Stores and Restaurants,Indiana,2015,317717
Stores and Restaurants,Iowa,2024,51585
Stores and Restaurants,Iowa,2023,225844
Stores and Restaurants,Iowa,2022,213127
Stores and Restaurants,Iowa,2021,198845
Stores and Restaurants,Iowa,2020,149943
Stores and Restaurants,Iowa,2019,195330
Stores and Restaurants,Iowa,2018,189454
Stores and Restaurants,Iowa,2017,241748
Stores and Restaurants,Iowa,2016,299540
Stores and Restaurants,Iowa,2015,195336
Stores and Restaurants,Kansas,2024,41323
Stores and Restaurants,Kansas,2023,136104
Stores and Restaurants,Kansas,2022,175933
Stores and Restaurants,Kansas,2021,162312
Stores and Restaurants,Kansas,2020,121064
Stores and Restaurants,Kansas,2019,219315
Stores and Restaurants,Kansas,2018,221457
Stores and Restaurants,Kansas,2017,189734
Stores and Restaurants,Kansas,2016,172290
Stores and Restaurants,Kansas,2015,187426
Stores and Restaurants,Kentucky,2024,45943
Stores and Restaurants,Kentucky,2023,227440
Stores and Restaurants,Kentucky,2022,252410
Stores and Restaurants,Kentucky,2021,143876
Stores and Restaurants,Kentucky,2020,149149
Stores and Restaurants,Kentucky,2019,270581
Stores and Restaurants,Kentucky,2018,217291
Stores and Restaurants,Kentucky,2017,254663
Stores and Restaurants,Kentucky,2016,236191
Stores and Restaurants,Kentucky,2015,245366
Stores and Restaurants,Louisiana,2024,69660
Stores and Restaurants,Louisiana,2023,393056
Stores and Restaurants,Louisiana,2022,346185
Stores and Restaurants,Louisiana,2021,188180
Stores and Restaurants,Louisiana,2020,142331
Stores and Restaurants,Louisiana,2019,236106
Stores and Restaurants,Louisiana,2018,221918
Stores and Restaurants,Louisiana,2017,259623
Stores and Restaurants,Louisiana,2016,231596
Stores and Restaurants,Louisiana,2015,372331
Stores and Restaurants,Maine,2024,9500
Stores and Restaurants,Maine,2023,68778
Stores and Restaurants,Maine,2022,36327
Stores and Restaurants,Maine,2021,60636
Stores and Restaurants,Maine,2020,17930
Stores and Restaurants,Maine,2019,32056
Stores and Restaurants,Maine,2018,28777
Stores and Restaurants,Maine,2017,29561
Stores and Restaurants,Maine,2016,39198
Stores and Restaurants,Maine,2015,51650
Stores and Restaurants,Maryland,2024,51317
Stores and Restaurants,Maryland,2023,168318
Stores and Restaurants,Maryland,2022,160857
Stores and Restaurants,Maryland,2021,273401
Stores and Restaurants,Maryland,2020,260610
Stores and Restaurants,Maryland,2019,304936
Stores and Restaurants,Maryland,2018,310854
Stores and Restaurants,Maryland,2017,322413
Stores and Restaurants,Maryland,2016,295287
Stores and Restaurants,Maryland,2015,382153
Stores and Restaurants,Massachusetts,2024,75617
Stores and Restaurants,Massachusetts,2023,212977
Stores and Restaurants,Massachusetts,2022,328673
Stores and Restaurants,Massachusetts,2021,321381
Stores and Restaurants,Massachusetts,2020,366721
Stores and Restaurants,Massachusetts,2019,488825
Stores and Restaurants,Massachusetts,2018,573330
Stores and Restaurants,Massachusetts,2017,379825
Stores and Restaurants,Massachusetts,2016,560910
Stores and Restaurants,Massachusetts,2015,332766
Stores and Restaurants,Michigan,2024,43555
Stores and Restaurants,Michigan,2023,275226
Stores and Restaurants,Michigan,2022,339805
Stores and Restaurants,Michigan,2021,253066
Stores and Restaurants,Michigan,2020,275189
Stores and Restaurants,Michigan,2019,427221
Stores and Restaurants,Michigan,2018,402598
Stores and Restaurants,Michigan,2017,454419
Stores and Restaurants,Michigan,2016,379190
Stores and Restaurants,Michigan,2015,387950
Stores and Restaurants,Minnesota,2024,40896
Stores and Restaurants,Minnesota,2023,235550
Stores and Restaurants,Minnesota,2022,215809
Stores and Restaurants,Minnesota,2021,163240
Stores and Restaurants,Minnesota,2020,152665
Stores and Restaurants,Minnesota,2019,240092
Stores and Restaurants,Minnesota,2018,386656
Stores and Restaurants,Minnesota,2017,206316
Stores and Restaurants,Minnesota,2016,284213
Stores and Restaurants,Minnesota,2015,268133
Stores and Restaurants,Mississippi,2024,20942
Stores and Restaurants,Mississippi,2023,128267
Stores and Restaurants,Mississippi,2022,77760
Stores and Restaurants,Mississippi,2021,68331
Stores and Restaurants,Mississippi,2020,48596
Stores and Restaurants,Mississippi,2019,62989
Stores and Restaurants,Mississippi,2018,109868
Stores and Restaurants,Mississippi,2017,82433
Stores and Restaurants,Mississippi,2016,80633
Stores and Restaurants,Mississippi,2015,146661
Stores and Restaurants,Missouri,2024,62951
Stores and Restaurants,Missouri,2023,229112
Stores and Restaurants,Missouri,2022,369494
Stores and Restaurants,Missouri,2021,346641
Stores and Restaurants,Missouri,2020,251609
Stores and Restaurants,Missouri,2019,233636
Stores and Restaurants,Missouri,2018,310240
Stores and Restaurants,Missouri,2017,475478
Stores and Restaurants,Missouri,2016,531713
Stores and Restaurants,Missouri,2015,332950
Stores and Restaurants,Montana,2024,7711
Stores and Restaurants,Montana,2023,70351
Stores and Restaurants,Montana,2022,80789
Stores and Restaurants,Montana,2021,59400
Stores and Restaurants,Montana,2020,34925
Stores and Restaurants,Montana,2019,33566
Stores and Restaurants,Montana,2018,54808
Stores and Restaurants,Montana,2017,49319
Stores and Restaurants,Montana,2016,57838
Stores and Restaurants,Montana,2015,35387
Stores and Restaurants,Nebraska,2024,19846
Stores and Restaurants,Nebraska,2023,94236
Stores and Restaurants,Nebraska,2022,106376
Stores and Restaurants,Nebraska,2021,89623
Stores and Restaurants,Nebraska,2020,50261
Stores and Restaurants,Nebraska,2019,66429
Stores and Restaurants,Nebraska,2018,115314
Stores and Restaurants,Nebraska,2017,154775
Stores and Restaurants,Nebraska,2016,93802
Stores and Restaurants,Nebraska,2015,108378
Stores and Restaurants,Nevada,2024,23072
Stores and Restaurants,Nevada,2023,273074
Stores and Restaurants,Nevada,2022,130016
Stores and Restaurants,Nevada,2021,157334
Stores and Restaurants,Nevada,2020,128591
Stores and Restaurants,Nevada,2019,116831
Stores and Restaurants,Nevada,2018,105488
Stores and Restaurants,Nevada,2017,207054
Stores and Restaurants,Nevada,2016,284639
Stores and Restaurants,Nevada,2015,231554
Stores and Restaurants,New Hampshire,2024,18765
Stores and Restaurants,New Hampshire,2023,31220
Stores and Restaurants,New Hampshire,2022,74323
Stores and Restaurants,New Hampshire,2021,65430
Stores and Restaurants,New Hampshire,2020,35932
Stores and Restaurants,New Hampshire,2019,47971
Stores and Restaurants,New Hampshire,2018,76627
Stores and Restaurants,New Hampshire,2017,44009
Stores and Restaurants,New Hampshire,2016,63417
Stores and Restaurants,New Hampshire,2015,81690
Stores and Restaurants,New Jersey,2024,73397
Stores and Restaurants,New Jersey,2023,349719
Stores and Restaurants,New Jersey,2022,349138
Stores and Restaurants,New Jersey,2021,270510
Stores and Restaurants,New Jersey,2020,333339
Stores and Restaurants,New Jersey,2019,391236
Stores and Restaurants,New Jersey,2018,466840
Stores and Restaurants,New Jersey,2017,510845
Stores and Restaurants,New Jersey,2016,429483
Stores and Restaurants,New Jersey,2015,320331
Stores and Restaurants,New Mexico,2024,45732
Stores and Restaurants,New Mexico,2023,108855
Stores and Restaurants,New Mexico,2022,146880
Stores and Restaurants,New Mexico,2021,102209
Stores and Restaurants,New Mexico,2020,56009
Stores and Restaurants,New Mexico,2019,77126
Stores and Restaurants,New Mexico,2018,91062
Stores and Restaurants,New Mexico,2017,125125
Stores and Restaurants,New Mexico,2016,94012
Stores and Restaurants,New Mexico,2015,73930
Stores and Restaurants,New York,2024,105387
Stores and Restaurants,New York,2023,1251795
Stores and Restaurants,New York,2022,1440837
Stores and Restaurants,New York,2021,774074
Stores and Restaurants,New York,2020,526200
Stores and Restaurants,New York,2019,1154249
Stores and Restaurants,New York,2018,1229961
Stores and Restaurants,New York,2017,1230142
Stores and Restaurants,New York,2016,1701693
Stores and Restaurants,New York,2015,2357137
Stores and Restaurants,North Carolina,2024,200483
Stores and Restaurants,North Carolina,2023,587719
Stores and Restaurants,North Carolina,2022,468990
Stores and Restaurants,North Carolina,2021,358459
Stores and Restaurants,North Carolina,2020,406216
Stores and Restaurants,North Carolina,2019,495824
Stores and Restaurants,North Carolina,2018,460912
Stores and Restaurants,North Carolina,2017,700948
Stores and Restaurants,North Carolina,2016,711905
Stores and Restaurants,North Carolina,2015,606352
Stores and Restaurants,North Dakota,2024,11188
Stores and Restaurants,North Dakota,2023,52478
Stores and Restaurants,North Dakota,2022,48332
Stores and Restaurants,North Dakota,2021,74883
Stores and Restaurants,North Dakota,2020,34996
Stores and Restaurants,North Dakota,2019,57776
Stores and Restaurants,North Dakota,2018,52717
Stores and Restaurants,North Dakota,2017,47417
Stores and Restaurants,North Dakota,2016,31974
Stores and Restaurants,North Dakota,2015,53916
Stores and Restaurants,Ohio,2024,162686
Stores and Restaurants,Ohio,2023,536301
Stores and Restaurants,Ohio,2022,527266
Stores and Restaurants,Ohio,2021,505961
Stores and Restaurants,Ohio,2020,418423
Stores and Restaurants,Ohio,2019,539683
Stores and Restaurants,Ohio,2018,555252
Stores and Restaurants,Ohio,2017,598590
Stores and Restaurants,Ohio,2016,547169
Stores and Restaurants,Ohio,2015,731203
Stores and Restaurants,Oklahoma,2024,79338
Stores and Restaurants,Oklahoma,2023,274888
Stores and Restaurants,Oklahoma,2022,353090
Stores and Restaurants,Oklahoma,2021,218781
Stores and Restaurants,Oklahoma,2020,153134
Stores and Restaurants,Oklahoma,2019,143468
Stores and Restaurants,Oklahoma,2018,150558
Stores and Restaurants,Oklahoma,2017,135190
Stores and Restaurants,Oklahoma,2016,224328
Stores and Restaurants,Oklahoma,2015,245831
Stores and Restaurants,Oregon,2024,17435
Stores and Restaurants,Oregon,2023,197691
Stores and Restaurants,Oregon,2022,127253
Stores and Restaurants,Oregon,2021,138491
Stores and Restaurants,Oregon,2020,125480
Stores and Restaurants,Oregon,2019,119049
Stores and Restaurants,Oregon,2018,102075
Stores and Restaurants,Oregon,2017,242857
Stores and Restaurants,Oregon,2016,255842
Stores and Restaurants,Oregon,2015,205659
Stores and Restaurants,Pennsylvania,2024,88782
Stores and Restaurants,Pennsylvania,2023,407572
Stores and Restaurants,Pennsylvania,2022,527190
Stores and Restaurants,Pennsylvania,2021,393931
Stores and Restaurants,Pennsylvania,2020,296519
Stores and Restaurants,Pennsylvania,2019,369153
Stores and Restaurants,Pennsylvania,2018,406694
Stores and Restaurants,Pennsylvania,2017,607598
Stores and Restaurants,Pennsylvania,2016,741309
Stores and Restaurants,Pennsylvania,2015,629709
Stores and Restaurants,Rhode Island,2024,950
Stores and Restaurants,Rhode Island,2023,81794
Stores and Restaurants,Rhode Island,2022,29218
Stores and Restaurants,Rhode Island,2021,27757
Stores and Restaurants,Rhode Island,2020,39894
Stores and Restaurants,Rhode Island,2019,28405
Stores and Restaurants,Rhode Island,2018,42208
Stores and Restaurants,Rhode Island,2017,50947
Stores and Restaurants,Rhode Island,2016,32159
Stores and Restaurants,Rhode Island,2015,27391
Stores and Restaurants,South Carolina,2024,46086
Stores and Restaurants,South Carolina,2023,304400
Stores and Restaurants,South Carolina,2022,215911
Stores and Restaurants,South Carolina,2021,225882
Stores and Restaurants,South Carolina,2020,189705
Stores and Restaurants,South Carolina,2019,193014
Stores and Restaurants,South Carolina,2018,312232
Stores and Restaurants,South Carolina,2017,288967
Stores and Restaurants,South Carolina,2016,327328
Stores and Restaurants,South Carolina,2015,306010
Stores and Restaurants,South Dakota,2024,10230
Stores and Restaurants,South Dakota,2023,101463
Stores and Restaurants,South Dakota,2022,71507
Stores and Restaurants,South Dakota,2021,50113
Stores and Restaurants,South Dakota,2020,26968
Stores and Restaurants,South Dakota,2019,64331
Stores and Restaurants,South Dakota,2018,87769
Stores and Restaurants,South Dakota,2017,44740
Stores and Restaurants,South Dakota,2016,33422
Stores and Restaurants,South Dakota,2015,44873
Stores and Restaurants,Tennessee,2024,209590
Stores and Restaurants,Tennessee,2023,735939
Stores and Restaurants,Tennessee,2022,611971
Stores and Restaurants,Tennessee,2021,435939
Stores and Restaurants,Tennessee,2020,361841
Stores and Restaurants,Tennessee,2019,394940
Stores and Restaurants,Tennessee,2018,346371
Stores and Restaurants,Tennessee,2017,386547
Stores and Restaurants,Tennessee,2016,542536
Stores and Restaurants,Tennessee,2015,478849
Stores and Restaurants,Texas,2024,981123
Stores and Restaurants,Texas,2023,3357090
Stores and Restaurants,Texas,2022,3114817
Stores and Restaurants,Texas,2021,1995261
Stores and Restaurants,Texas,2020,2022895
Stores and Restaurants,Texas,2019,2384564
Stores and Restaurants,Texas,2018,2115631
Stores and Restaurants,Texas,2017,2689170
Stores and Restaurants,Texas,2016,2724292
Stores and Restaurants,Texas,2015,2342878
Stores and Restaurants,Utah,2024,68656
Stores and Restaurants,Utah,2023,271038
Stores and Restaurants,Utah,2022,231712
Stores and Restaurants,Utah,2021,167479
Stores and Restaurants,Utah,2020,172827
Stores and Restaurants,Utah,2019,100430
Stores and Restaurants,Utah,2018,91997
Stores and Restaurants,Utah,2017,199404
Stores and Restaurants,Utah,2016,200513
Stores and Restaurants,Utah,2015,240316
Stores and Restaurants,Vermont,2024,2577
Stores and Restaurants,Vermont,2023,11900
Stores and Restaurants,Vermont,2022,19483
Stores and Restaurants,Vermont,2021,12017
Stores and Restaurants,Vermont,2020,5175
Stores and Restaurants,Vermont,2019,18849
Stores and Restaurants,Vermont,2018,16110
Stores and Restaurants,Vermont,2017,26511
Stores and Restaurants,Vermont,2016,20610
Stores and Restaurants,Vermont,2015,33606
Stores and Restaurants,Virginia,2024,149962
Stores and Restaurants,Virginia,2023,416662
Stores and Restaurants,Virginia,2022,334665
Stores and Restaurants,Virginia,2021,273498
Stores and Restaurants,Virginia,2020,316783
Stores and Restaurants,Virginia,2019,460475
Stores and Restaurants,Virginia,2018,484879
Stores and Restaurants,Virginia,2017,443037
Stores and Restaurants,Virginia,2016,668280
Stores and Restaurants,Virginia,2015,569003
Stores and Restaurants,Washington,2024,73069
Stores and Restaurants,Washington,2023,328970
Stores and Restaurants,Washington,2022,317523
Stores and Restaurants,Washington,2021,351958
Stores and Restaurants,Washington,2020,169850
Stores and Restaurants,Washington,2019,257843
Stores and Restaurants,Washington,2018,411239
Stores and Restaurants,Washington,2017,470902
Stores and Restaurants,Washington,2016,470856
Stores and Restaurants,Washington,2015,257996
Stores and Restaurants,West Virginia,2024,6019
Stores and Restaurants,West Virginia,2023,72229
Stores and Restaurants,West Virginia,2022,64547
Stores and Restaurants,West Virginia,2021,34834
Stores and Restaurants,West Virginia,2020,85946
Stores and Restaurants,West Virginia,2019,80555
Stores and Restaurants,West Virginia,2018,33791
Stores and Restaurants,West Virginia,2017,22073
Stores and Restaurants,West Virginia,2016,39089
Stores and Restaurants,West Virginia,2015,36546
Stores and Restaurants,Wisconsin,2024,40971
Stores and Restaurants,Wisconsin,2023,223930
Stores and Restaurants,Wisconsin,2022,213069
Stores and Restaurants,Wisconsin,2021,213525
Stores and Restaurants,Wisconsin,2020,123877
Stores and Restaurants,Wisconsin,2019,209226
Stores and Restaurants,Wisconsin,2018,276867
Stores and Restaurants,Wisconsin,2017,341149
Stores and Restaurants,Wisconsin,2016,291786
Stores and Restaurants,Wisconsin,2015,374118
Stores and Restaurants,Wyoming,2024,7500
Stores and Restaurants,Wyoming,2023,25422
Stores and Restaurants,Wyoming,2022,15098
Stores and Restaurants,Wyoming,2021,19255
Stores and Restaurants,Wyoming,2020,13444
Stores and Restaurants,Wyoming,2019,17029
Stores and Restaurants,Wyoming,2018,16800
Stores and Restaurants,Wyoming,2017,10504
Stores and Restaurants,Wyoming,2016,11145
Stores and Restaurants,Wyoming,2015,12367
Warehouses (excl. manufacturer owned),Alabama,2024,76416
Warehouses (excl. manufacturer owned),Alabama,2023,320780
Warehouses (excl. manufacturer owned),Alabama,2022,277936
Warehouses (excl. manufacturer owned),Alabama,2021,271193
Warehouses (excl. manufacturer owned),Alabama,2020,234097
Warehouses (excl. manufacturer owned),Alabama,2019,255676
Warehouses (excl. manufacturer owned),Alabama,2018,215865
Warehouses (excl. manufacturer owned),Alabama,2017,224765
Warehouses (excl. manufacturer owned),Alabama,2016,59851
Warehouses (excl. manufacturer owned),Alabama,2015,14827
Warehouses (excl. manufacturer owned),Alaska,2024,4313
Warehouses (excl. manufacturer owned),Alaska,2023,64073
Warehouses (excl. manufacturer owned),Alaska,2022,68910
Warehouses (excl. manufacturer owned),Alaska,2021,152149
Warehouses (excl. manufacturer owned),Alaska,2020,6806
Warehouses (excl. manufacturer owned),Alaska,2019,7172
Warehouses (excl. manufacturer owned),Alaska,2018,12855
Warehouses (excl. manufacturer owned),Alaska,2017,14027
Warehouses (excl. manufacturer owned),Alaska,2016,16759
Warehouses (excl. manufacturer owned),Alaska,2015,8919
Warehouses (excl. manufacturer owned),Arizona,2024,611600
Warehouses (excl. manufacturer owned),Arizona,2023,2862574
Warehouses (excl. manufacturer owned),Arizona,2022,4087500
Warehouses (excl. manufacturer owned),Arizona,2021,2050858
Warehouses (excl. manufacturer owned),Arizona,2020,1269835
Warehouses (excl. manufacturer owned),Arizona,2019,667440
Warehouses (excl. manufacturer owned),Arizona,2018,695315
Warehouses (excl. manufacturer owned),Arizona,2017,426363
Warehouses (excl. manufacturer owned),Arizona,2016,468275
Warehouses (excl. manufacturer owned),Arizona,2015,363118
Warehouses (excl. manufacturer owned),Arkansas,2024,135319
Warehouses (excl. manufacturer owned),Arkansas,2023,287634
Warehouses (excl. manufacturer owned),Arkansas,2022,420463
Warehouses (excl. manufacturer owned),Arkansas,2021,82892
Warehouses (excl. manufacturer owned),Arkansas,2020,459262
Warehouses (excl. manufacturer owned),Arkansas,2019,36609
Warehouses (excl. manufacturer owned),Arkansas,2018,99010
Warehouses (excl. manufacturer owned),Arkansas,2017,121581
Warehouses (excl. manufacturer owned),Arkansas,2016,131094
Warehouses (excl. manufacturer owned),Arkansas,2015,15744
Warehouses (excl. manufacturer owned),California,2024,626678
Warehouses (excl. manufacturer owned),California,2023,4606623
Warehouses (excl. manufacturer owned),California,2022,4716969
Warehouses (excl. manufacturer owned),California,2021,5521436
Warehouses (excl. manufacturer owned),California,2020,3556133
Warehouses (excl. manufacturer owned),California,2019,2984128
Warehouses (excl. manufacturer owned),California,2018,3146969
Warehouses (excl. manufacturer owned),California,2017,2759343
Warehouses (excl. manufacturer owned),California,2016,2318295
Warehouses (excl. manufacturer owned),California,2015,2103089
Warehouses (excl. manufacturer owned),Colorado,2024,135680
Warehouses (excl. manufacturer owned),Colorado,2023,565003
Warehouses (excl. manufacturer owned),Colorado,2022,1849043
Warehouses (excl. manufacturer owned),Colorado,2021,961415
Warehouses (excl. manufacturer owned),Colorado,2020,1130275
Warehouses (excl. manufacturer owned),Colorado,2019,459270
Warehouses (excl. manufacturer owned),Colorado,2018,448146
Warehouses (excl. manufacturer owned),Colorado,2017,677293
Warehouses (excl. manufacturer owned),Colorado,2016,530379
Warehouses (excl. manufacturer owned),Colorado,2015,318849
Warehouses (excl. manufacturer owned),Connecticut,2024,43143
Warehouses (excl. manufacturer owned),Connecticut,2023,442067
Warehouses (excl. manufacturer owned),Connecticut,2022,313615
Warehouses (excl. manufacturer owned),Connecticut,2021,258330
Warehouses (excl. manufacturer owned),Connecticut,2020,367833
Warehouses (excl. manufacturer owned),Connecticut,2019,135731
Warehouses (excl. manufacturer owned),Connecticut,2018,262230
Warehouses (excl. manufacturer owned),Connecticut,2017,151948
Warehouses (excl. manufacturer owned),Connecticut,2016,128332
Warehouses (excl. manufacturer owned),Connecticut,2015,69286
Warehouses (excl. manufacturer owned),Delaware,2024,2464
Warehouses (excl. manufacturer owned),Delaware,2023,118755
Warehouses (excl. manufacturer owned),Delaware,2022,418717
Warehouses (excl. manufacturer owned),Delaware,2021,299459
Warehouses (excl. manufacturer owned),Delaware,2020,540489
Warehouses (excl. manufacturer owned),Delaware,2019,169107
Warehouses (excl. manufacturer owned),Delaware,2018,31465
Warehouses (excl. manufacturer owned),Delaware,2017,38823
Warehouses (excl. manufacturer owned),Delaware,2016,6201
Warehouses (excl. manufacturer owned),Delaware,2015,16000
Warehouses (excl. manufacturer owned),District of Columbia,2022,5508
Warehouses (excl. manufacturer owned),District of Columbia,2019,30800
Warehouses (excl. manufacturer owned),District of Columbia,2018,40625
Warehouses (excl. manufacturer owned),District of Columbia,2017,1000
Warehouses (excl. manufacturer owned),District of Columbia,2016,13265
Warehouses (excl. manufacturer owned),District of Columbia,2015,11900
Warehouses (excl. manufacturer owned),Florida,2024,1080950
Warehouses (excl. manufacturer owned),Florida,2023,4860687
Warehouses (excl. manufacturer owned),Florida,2022,5181903
Warehouses (excl. manufacturer owned),Florida,2021,3457504
Warehouses (excl. manufacturer owned),Florida,2020,3015365
Warehouses (excl. manufacturer owned),Florida,2019,2593743
Warehouses (excl. manufacturer owned),Florida,2018,2011756
Warehouses (excl. manufacturer owned),Florida,2017,1947248
Warehouses (excl. manufacturer owned),Florida,2016,1562738
Warehouses (excl. manufacturer owned),Florida,2015,1080736
Warehouses (excl. manufacturer owned),Georgia,2024,288858
Warehouses (excl. manufacturer owned),Georgia,2023,3137084
Warehouses (excl. manufacturer owned),Georgia,2022,3489061
Warehouses (excl. manufacturer owned),Georgia,2021,1893125
Warehouses (excl. manufacturer owned),Georgia,2020,994154
Warehouses (excl. manufacturer owned),Georgia,2019,1931680
Warehouses (excl. manufacturer owned),Georgia,2018,1156893
Warehouses (excl. manufacturer owned),Georgia,2017,1063167
Warehouses (excl. manufacturer owned),Georgia,2016,570177
Warehouses (excl. manufacturer owned),Georgia,2015,590644
Warehouses (excl. manufacturer owned),Hawaii,2024,39538
